VendorNumber,VendorName,VendorAddress1,VendorAddress2,VendorCity,VendorZip,VendorState,VendorCountry,VendorContactPhone,VendorContactFax,VendorContact,VendorContactEmail,VendCommCode,VendMinority,VendDesignated,VendIndustry,VendorKey,ShipToLocation,Currency
"10118","RANDOLPH PRODUCTS","33 HAYNES CIRCLE","","CHICOPEE","01020","MA","USA","413-592-4191","413-594-7321","JIM LEIGHTON","ORDERS@RANDALPHPRODUCTS.COM","CC","N","N","AUTO",189,"EPDC","DLL"
"10119","DISADIN S.A. DE C.V.","1630 TEXAS AVE.,","","EL PASO","79901","TX","USA","6562073550","6562073550","MARIO ALTAMIRA","","MM"," "," ","AUTO",190,"EPDC","DLL"
"10120","YAZAKI NORTH AMERICA INC.","2277 M119 HWY.","","PETOSKEY","49770","MI","USA","915-298-2548","734-983-4609","MARIA ZUBIA","MARIA.ZUBIA@US.YAZAKI.COM","EE","N","N","AUTO",191,"EPDC","DLL"
"10121","EV ROBERTS","8500 STELLER DR.;","","CULVER CITY","90232","CA","USA","800-374-3872","310-839-9427","KAREN KINSER","KKINSER@EVROBERTS.COM","CC"," "," ","AUTO",192,"EPDC","DLL"
"10125","GORMAN INDUSTRIAL SUPPLY","P.O. BOX 861","1701 TEXAS AVE.;","EL PASO","79945","TX","USA","","","","","  "," "," ","",196,"EPDC","DLL"
"10129","MARKEM - IMAGE CORP.;","150 CONGRESS ST.;","","KEENE","03431-7100","NHAMPSHIRE","USA","800-322-0116","1-800-435-2923","NANCY","EWALSH@MARKEM-IMAJE.COM","CC"," "," ","AUTO",200,"EPDC","DLL"
"10130","GSW  MANUFACTURING INC.;","1801 PRODUCTION DR.;","","FINDLAY","45840","OH","USA","419-423-7111","419-423-8999","JEFF MC CORD","","  "," "," ","",201,"EPDC","DLL"
"10131","SUMITOMO WIRING SYSTEMS INC.;","39555 ORCHARD HILL PLACE","SUITE L60","NOVI","48375","MI","USA","248-262-1393","248-347-9451","HINATA KOJO #202","","WW"," "," ","AUTO",202,"EPDC","DLL"
"10132","WURTH ELEKTRONIK IBE GMBH","GEWERBEPARTK 8","","THYRNAU","94136","GERMANY","GERMANY","49-8501-9001-0","49-8921715022","RABEA HEPTNER","","EE"," "," ","AUTO",203,"EPDC","DLL"
"10135","HY COMP","17960 ENGLEWOOD DR.","","CLEVELAND","44130","OH","USA","440-234-2002","440-234-4911","JOANN EDMUNDS","JEDMUNDS@HYCOMPINC.COM / JEDMUNDS@HYCOMPINC.COM","II","N","N","AERO",206,"EPDC","DLL"
"10137","AIR COMPONENTS","10641 FULTON COURT","RANCHO","CUCAMONGA","91730","CA","USA","435-674-0215","909-980-8224","ROBERT LANDON","RLANDON@AIRCOMPONENTSINC.COM","DD","N","N","AESF",208,"EPDC","DLL"
"10138","SUMITOMO ELECTRIC U.S.A. INC.","21221 S. WESTERN AVE.","SUITE 200","TORRANCE","90501","CA","USA","310 972-7118","914-467-5027","YOSHI KAWABATA","","WW"," "," ","AUTO",209,"EPDC","DLL"
"10141","KUEHNE + NAGEL; INC.;","480 AMERICAS AVE. B 1 & 2","CHB#4455","EL PASO","79907","TX","USA","","","","","  "," "," ","",212,"EPDC","DLL"
"10143","RB & W LOGISTICS","P.O. BOX 72220","","CLEVELAND","44192","OH","","(915) 592-1223","","ROBERT SANCHEZ","","  "," "," ","",214,"EPDC","DLL"
"10146","FASTRON CORPORATION","5869 ENTERPRISE PARKWAY","","FT MYERS","33905","FL","USA","941-694-0088","630-766-6251","KIM RYDER","","  "," "," ","",216,"EPDC","DLL"
"10149","TOWER TOOL & MFG. INC.","UNITS N & O","2057 EAST AURORA RD.;","TWINSBURG","44087","OH","USA","330-425-1623","","","","MM","N"," ","",219,"EPDC","DLL"
"10150","TEXTRON FASTENING SYSTEMS","1304 KERR DR.;","","DECORAH","52101-2046","IA","USA","815-397-5151","563-387-3370","SHERRY X5735","","HH"," "," ","AUTO",220,"EPDC","DLL"
"10152","MATSUO INDUSTRIES USA INC.","408 MUNICIPAL DR.","","JEFFERSON CITY","37760","TN","USA","865-475-9085","865-475-9087","TONYA HELTON","","MM","N","N","AUTO",222,"EPDC","DLL"
"10156","THE DAYTON TOOL CO. INC.;","1825 E. 1ST. ST.","FEDEX:045411680","DAYTON","45403","OH","USA","937-222-5501","937-222-5505","GARY BURDETTE","","MM"," "," ","AUTO",225,"EPDC","DLL"
"10157","MANUFACTURERS EQUIPMENT & SUP.","2401 LAPEER RD.;","","FLINT","48503","MI","USA","810-239-2173","810-239-5360","BETH MARTIN X260","","DD"," "," ","",226,"EPDC","DLL"
"10158","LEWIS SPRING AND MFG. CO.","7500 N. NATCHEZ AVE.","","NILES","60714","IL","USA","847-647-2200","847-647-8600","KATHY UNIZYCKI","KATHY@LEWISSPRING.COM","SS","N","N","AUTO",227,"EPDC","DLL"
"10160","H & H SWISS MACHINE PROD.","1478 CHESTNUT AVE.","","HILLSIDE","07205","NJ","USA","908*688-6390","908-688-3503","SUE KENNY X 119","SKENNY@HHSWISS.COM","HH"," "," ","AUTO",229,"EPDC","DLL"
"10161","PLASTICS MOLDING CO.","4211 N. BROADWAY","","ST. LOUIS","63147","MO","USA","314-241-2479","314-241-3757","JUDY BROCKMAN - CIA","JABROCKMAN@BACHMANMACHINE.COM","PP","N","N","AUTO",230,"EPDC","DLL"
"10162","SELTEK INTERNATIONAL INC.;","5130 GATEWAY EAST BLVD.;","","EL PASO","79905","TX","USA","915-772-8444","915-772-8495","ULISES","UMONTES@SELTEK.NET","DD"," "," ","",231,"EPDC","DLL"
"10163","STADCO; INC.;","632 YELLOW SPRINGS","FAIRFIELD RD.;","FAIRBORN","45324","OH","USA","937-878-0911","937-878-0810","KEN WILSON","","  "," "," ","",232,"EPDC","DLL"
"10164","ANIXTER INC.;","9035 S. KYRENE RD.","SUITE 101","TEMPE","85284","AZ","USA","915-860-6613","480-893-1102","ANA CONDE","ANA.CONDE@ANIXTER.COM","DD","N","N","AUAE",233,"EPDC","DLL"
"10165","RAPID INDUSTRIES","26 WALTER JONES","SUITE E","EL PASO","79906","TX","USA","915-778-9325","656-25-69-01","MARIO DE LOS REYES","","  "," "," ","",234,"EPDC","DLL"
"10166","ITW TRANS TECH","475 NORTH GARY AVE","","CAROL STREAM","60188-4900","IL","USA","708-342-2801","708-342-2802","CHERYL LANDIS","","OO","Y"," ","",235,"EPDC","DLL"
"10169","TC INTERNATIONAL","213 RESLER PANAMERICANA 7626","COL. CAMPESTRE VIRREYES","JUAREZ","32694","CHIH","MEX","637-0570 - 73","656-637-05-70","ARISBETH FLORES V.","","  "," "," ","",238,"EPDC","DLL"
"10173","SEALED AIR","19440 ARENTH AVE.;","","DITY OF INDUSTR","91748","CA","USA","1-800-356-7338","909-869-7730","MIKE HERNANDEZ","MIKE.HERNANDEZ@SEALEDAIR.COM","CC"," "," ","AUTO",242,"EPDC","DLL"
"10174","EMPIRE DIE CASTING","635 E. HIGHLAND RD.;","","MACEDONIA","44056","OH","USA","330-467-0750 X3063","330-467-9118","JESSIE  / JENNY","JESSIE.RAPKIN@ OR JENNY.MICHEL@ EMPIREDIE.COM","DD"," "," ","AERO",243,"EPDC","DLL"
"10177","ELECTRO LOCK","17930 GREAT LAKE PKWY.","","HIRAM","44234","OH","USA","440-834-7500","440-834-7525","HEATHER DALESSANDRO","HEATHER.DALESSANDRO@ELECTROLOCK.COM","OO","Y"," ","AERO",246,"EPDC","DLL"
"10178","MAGNETICS INC","796 E. BUTLER RD.;","","BUTLER","16029","PA","USA","412-696-1333","412.963.5690","JAMES CARL","JMCCARL@SPANG.COM","CC","N"," ","AESF",247,"EPDC","DLL"
"10179","D&L MFG","2715 BENNETT RD.","","NORTH MADISON","44057","OH","USA","440-428-1627","440.428.1627","ELIZABETH KUEHNLE","RKUEHNLE@HOTMAIL.COM","HH","N","N","AESF",248,"EPDC","DLL"
"10182","UNIVAR USA INC.;","6980 MARKET AVE.;","","EL PASO","79915","TX","USA","656-625-0604","915-778-4542","DIANA IRIGOYEN","DIANA.IRIGOYEN@UNIVARMEXICO.COM","  "," "," ","",251,"EPDC","DLL"
"10183","MICROSEMI CORP. COLORADO","800 HOYT STREET","","BROOMFIELD","80020","CO","USA","303-469-2161","303-466-3775","MARTY AWN (277)","","EE"," "," ","AUTO",252,"EPDC","DLL"
"10184","EMERSON APPLIANCES","2831 WATERFRONT PWKY.","EAST DR.;","INDIANAPOLIS","46214-2016","IN","USA","915-860-6439","317-328-4037","HUGO LUNA","HUGO.LUNA@EMERSON.COM","EE"," "," ","AUTO",253,"EPDC","DLL"
"10185","MILLER BEARING COMPANY","225 INDUSTRIAL DR.;","","BREMEN","46506","IN","USA","574-546-4455","219-546-5924","JENNIFER X5023","JBERGER@RBCBEARINGS.COM","MM"," "," ","AUTO",254,"EPDC","DLL"
"10186","FORTRESS MANUFACTURING; INC.","2225 SOUTH 170TH.  ST.","","NEW BERLIN","53151","WI","USA","262-797-3534","262-797-7535","","DALE@FORTRESS-MFG.COM","MM"," "," ","AUTO",255,"EPDC","DLL"
"10187","MIDWEST MOLDING","741 WINSTON ST.;","","WEST CHICAGO","60185","IL","USA","224-208-1110","224-208-1111","RINK PATEL  X228","RINK.PATEL@MWMOLDING.COM","PP","Y","N","AUTO",256,"EPDC","DLL"
"10188","JST SALES AMERICA INC.","1957 S. LAKESIDE DR.","","WAUKEGAN","60085","IL","USA","248-427-8344","847-473-1373","LYNNE JOHNSON","LYNNE,JOHNSON@JSTUS.COM","EE","N","N","AUTO",257,"EPDC","DLL"
"10189","IEWC CORP.","5001 S. TOWNE DRIVE","","NEW BERLIN","53151-0908","WI","USA","480-922-6900","262-957-1652","MARIA BANDA X 4309","MARIAB@IEWC.COM","WW","N","N","AUTO",258,"EPDC","DLL"
"10190","TEXTRON FASTENIN SYSTEMS","826 EAST MADISON ST.;","","BELVIDERE","60694","IL","","815-544-7502","815-544-7564","JANAE WOODS","","HH"," "," ","AUTO",259,"EPDC","DLL"
"10191","DURACAST","201 N. INDUSTRIAL PARK RD.","","ENTERPRISE","36330","AL","USA","334-347-2076","334-393-2724","TAMMY","TAMMYH@DURA-CAST.COM","DD"," "," ","AUTO",260,"EPDC","DLL"
"10192","ARNOLD ENGINEERING","300 WEST ST.","","MARENGO","60152","IL","USA","815-568-2000","815-568-2376","CHRISTINE WHITNEY","","WW"," "," ","AERO",261,"EPDC","DLL"
"10193","STANDARD PLASTICS CORP","P.O. BOX 355","","BLUSSTON","46214","IN","USA","260-824-0214 X 204","260-824-3290","TAMMY FUELING","CANDACELEONARD@SBCGLOBAL.NET","PP"," "," ","AUTO",262,"EPDC","DLL"
"10195","MERSEN USA BN CORP.","400 MYRTLE AVE.;","","BOONTON","07005","NJ","USA","973-299-4515","434-395-8225","JEFF WISWALL","JEFF.WISWALL@CARBONELORRAINE.COM","CC"," "," ","AUTO",264,"EPDC","DLL"
"10198","INSERTECH INTERNATIONAL INC.","740 WEST INTERNATIONAL DR.;","UNIT G","CARY","60013","IL","USA","847-516-6184","847-516-6486","WILLIAM D. ETTEN","","  "," "," ","",267,"EPDC","DLL"
"10201","MILPLEX; CIRCUITS; INC.","1301 WEST ARDMORE AVE.;","","ITASCA","60143","IL","USA","630-250-1580","630-250-1590","JIM","SALES@MILPLEX.COM","CC","N","N","AUTO",270,"EPDC","DLL"
"10202","ENPLAS (USA); INC.","1901 WEST OAK CIRCLE","","MARIETTA;","30062","GA","USA","770-795-1100","770-795-1190","MARTHA FOX","","II"," "," ","AERO",271,"EPDC","DLL"
"10208","AVNET ELECTRONICS MARKETING","9800 LA CIENEGA BLVD.;","","INGLEWOOD","90301","CA","USA","1-800-332-8638","310-665-2691","CUSTOMER SERVICE","","  "," "," ","",277,"EPDC","DLL"
"10209","TTI OHIO","5410 TRANSPORTATION BLVD.;","","GARFIELDHEIGHT","44125","OH","USA","817-624-6380","216-663-2691","TIFFANY L. MC DANIEL","TIFFANY.GOETZ@TTIINC.COM","DD"," "," ","",278,"EPDC","DLL"
"10210","O.G. BELL CO.;","139 LEAR RD.;","","AVON LAKE","44012","OH","USA","440-933-7797","440-933-6660","","","  "," "," ","",279,"EPDC","DLL"
"10211","TRANSAMERICA LUBRICANTS; INC.;","11395  JAMES WATT","SUITE A-10","EL PASO","79936","TX","USA","915-613-3058","915-594-7005","JESUS TORRES","JJTORRES@TRANSAMLUB.COM","CC"," "," ","AUTO",280,"EPDC","DLL"
"10218","ELLSWORTH ADHESIVES","W129 N10825 WASHINGTON DR.;","","GERMANTOWN","53022-8202","WI","","915-772-0121","262-509-8763","DIANA SMITH","DSMITH@ELLSWOTH.COM","CC"," "," ","AUAE",287,"EPDC","DLL"
"10219","E.C. KITZEL & SONS; INC.","4775 MANUFACTURING AVE.;","","CLEVELAND","44135","OH","USA","800-227-0431","216-267-6714","THOMAS E. SCHUMANN","","OO","N"," ","",288,"EPDC","DLL"
"10223","CAPSONIC  ( ELGIN PYMNTS.)","","","","","","","","","","","  "," "," ","",292,"EPDC","DLL"
"10228","KAMAN INDUSTRIAL TECHNOLOGIES","213 WEST WAYNE ST.;","P.O. BOX 2536","FORT WAYNE","46801-2536","IN","USA","915-778-8880","","FRED LANDAU","JOHNNY.GUERRERO@KAMAN.COM","  "," "," ","",297,"EPDC","DLL"
"10230","AMERICAN HOFMANN CORP.","P.O. BOX 79707","","BALTIMORE","21279-0707","MD","USA","434-522-0300","434-846-1340","MARY FLETCHER","","  "," "," ","",299,"EPDC","DLL"
"10231","POLYONE DISTRIBUTION","11400 B A NEWPORT AVE.;","RANCHO","CUCAMONGA","91730","CA","USA","1-800-323-0733","704-992-2801","LORRAINE FLANAGAN (EXT 23133)","LORRAINE.FLANAGAN@POLYONE.COM","CC"," "," ","",300,"EPDC","DLL"
"10232","PENN FIBRE COMPANY","2434 BRISTOL RD.","","BENSALEM","19020","PA","USA","800*662-7366","215-793-0700","MICHELLE","MICHELLEP@PENNFIBRE.COM   ** CASH IN ADVANCE **","SS"," "," ","AUTO",301,"EPDC","DLL"
"10233","PLASTIC SOLUTIONS","759 WEST CHIPPEWA","","SOUTH BEND","46614","IN","USA","574-288-2100","574-237-0077","LORI GLEASON","","PP"," "," ","AUTO",302,"EPDC","DLL"
"10234","SOUTH BEND PLASTICS","1810 CLOVER RD.;","","MISHAWAKA","46545","IN","USA","574-259-1991","","JERI A MULLIN","","PP"," "," ","AUTO",303,"EPDC","DLL"
"10235","PLASTIC DECORATORS; INC.","1330 HOLMES RD.;","","ELGIN","60123","IL","USA","847-697-1330","847-697-7268","MARY SPIGO 205 #","","PP"," "," ","AUTO",304,"EPDC","DLL"
"10236","SHIN-ETSU POLYMER AMERICA","34405 WEST 12 MILE RD.","SUITE 243","FARMINGTON HILL","48331","MI","USA","770-645-6755","510-623-8115","AYAKO "COKO" MOORE","AMOORE@SHINPOLY.COM","EE","N","N","AUTO",305,"EPDC","DLL"
"10237","VICTORY PACKAGING","12120 ROJAS DR.;","STE. B","EL PASO","79936","TX","USA","915-778-3370","915-778-3393","CINDY GONZALEZ","","  "," "," ","",306,"EPDC","DLL"
"10239","RAMON VITAL","9021 BETEL APT. 105","","EL PASO","79907","TX","USA","","","","","  ","N","N","",308,"EPDC","DLL"
"10242","STEVEN'S MOLDING INC.","2125 STONING AVE.;","","HOFFMAN ESTATES","60195","IL","USA","847-885-2378","847-885-3874","STEVEN BALLEK/WALTER","","PP"," "," ","AUTO",311,"EPDC","DLL"
"10245","PROSPECT FASTENER CORP.","1295 KYLE COURT","","WAUCONDA","60084","IL","USA","847-526-2950","847-526-2955","RICH PRATT","RICH@PROSPECTFASTENER.COM","HH"," "," ","AUTO",314,"EPDC","DLL"
"10246","SELECT TECH INC.;","3050 ROUTE 208","","WALLKILL","12589","NY","USA","845-895-8111","845-895-8112","BILL DIENER","","  "," "," ","",315,"EPDC","DLL"
"10247","CONTINENTAL CASTING; LLC.","801 SECOND ST.","","MONROE CITY","63456","MO","USA","573-735-4578","573-735-8299","DONNA MUDD 8370 -CIA","DMUDD@INTERMET.COM","MM"," "," ","AUTO",316,"EPDC","DLL"
"10249","PRECIOUS METALS","30335 PALISADES PARKWAY","","WICKLIFFE","44092","OH","USA","440-585-7117","440-585-0479","JACKIE","PMPCO@EARTHLINK.COM","OO","N","N","AUTO",318,"EPDC","DLL"
"10250","PHILADELPHIA RIVET","1410 GAIL BORDEN","SUITE B-3","PHILADELPHIA","79935","PA","USA","215*345-6151","915-590-2151","KEITH","SALESPRC@AOL.COM; BOOKSPRC@VERIZON.NET","HH","N","N","AUTO",319,"EPDC","DLL"
"10251","MOCAP PLASTIC PRODUCTS GROUP","13100 MANCHESTER RD.;","","ST. LOUIS","63131-1703","MO","USA","1-800-633-6775","314-543-4111","SILVIA CASTILLO","SCASTILLO@MOCAP.COM","PP"," "," ","AUTO",320,"EPDC","DLL"
"10252","ROTOR CLIP CO. INC.;","187 DAVIDSON AVE.;","","SOMERSET","08873","NJ","USA","732-469-7333","732-469-7898","DENISE KRAEMER","","  "," "," ","",321,"EPDC","DLL"
"10253","ASMO GREENVILLE OF NA INC.","1125 SUGG PKWY","","GREENVILLE","27834","NC","USA","(252)754-1055","252-754-1775","CAROL CARMON","","EE","N","N","AUTO",322,"EPDC","DLL"
"10259","VON ROLL ISOLA - USA; INC.;","ONE WEST CAMPBELL RD.;","","SCHENECTADY","12306","NY","USA","518-344-7231","518-344-7287","BERNIE WILKE","BERNIE.WILKE@VONROLL-ISOLA.COM","II","N"," ","AESF",328,"EPDC","DLL"
"10260","TA YANG","114 WRIGHT BROTHERS AVE.","","LIVERMORE","94550","CA","USA","925-443-6269","925-443-6282","ALEX OKZECH","ALEX@TAYANG.COM","EE","N","N","AUTO",329,"EPDC","DLL"
"10263","A & S MOLD AND DIE CORP.","9705 ETON AVE.","","CHATSWORTH","91311","CA","USA","818-341-5393","818-341-3824","ARNOLD X314","ARNO@AANDSMOLD.COM","PP","N","N","AUTO",332,"EPDC","DLL"
"10266","INTESYS TECHNOLOGIES INC.;","1300 N. FIESTA BLVD.","","GILBERT","85233","AZ","USA","480-497-3152","480-813-5020","PAMELA EVANS","","  "," "," ","",335,"EPDC","DLL"
"10272","SHIN ETSU MAGNETICS INC.;","2372 QUME DR.","SUITE B","SAN JOSE","95131","CA","USA","408-383-9240","408-383-9245","","","  "," "," ","",341,"EPDC","DLL"
"10275","AREWAY LLC","3700 RIDGE RD.;","","BROOKLYN","44144","OH","USA","216-651-9020","216-634-2515","GWEN CHRULSKI","","MM"," "," ","AUTO",344,"EPDC","DLL"
"10276","CLASSIC MIDWEST DIE & MOLD","C/O BANK OF COMMERCE & INDUSTR","P.O. BOX 31725","CHICAGO","60631","IL","","773-227-8000","773-227-4605","NATHALY SARMIENTO","NATHALYCLASSICMDM@YAHOO.COM","PP"," "," ","AUTO",345,"EPDC","DLL"
"10278","PANASONIC AUTOMOTIVE","ELECTRONICS COMPANY","26455 AMERICAN DR.;","SOUTHFIELD","48034","MI","USA","248-447-7000","248-447-7001","LISA ANDREWS/JOYCE","","EE"," "," ","AUTO",347,"EPDC","DLL"
"10279","ECL","7595 GALLIA PIKE FR","","FRANKLINFURNACE","45629","OH","USA","1-800-477-8704","740-574-4740","AIMEC LODWICK","CUSTOMERSERVICE@ECLLUBE.COM","CC","N"," ","AUTO",348,"EPDC","DLL"
"10281","PINE RIVER PLASTICS LINE","1111 F.W. MOORE HWY","","ST CLAIR","48079","MI","USA","810-329-9004","810-329-7181","ALICE GRANT","","PP"," "," ","AUTO",350,"EPDC","DLL"
"10282","LITTLE HAWK GROUP INC.;","201 W. VIRGINIA ST.;;","","MCKINNEY","75069","TX","USA","972-658-6696","972-548-1158","MIKE JANC","","OO"," "," ","AUTO",351,"EPDC","DLL"
"10297","JAMESTOWN PLASTICS","3200 NORTH F.M. 511","","BROWNSVILLE","78521","TX","USA","956-831-8800","956-831-9600","","","  "," "," ","",362,"EPDC","DLL"
"10298","PRECISION BRUSH CO. INC.;","6700 PARKLAND BLVD.;","","SOLON","44139","OH","USA","440-542-9600","","","","  "," "," ","",363,"EPDC","DLL"
"10300","KENT H. LANDSBERG","P.O. BOX 201314","","DALLAS","75320-1314","TX","USA","(656)683-4099","915-872-1313","ENRIQUE GONZALEZ","ENRIQUE.GONZALEZ@LANDSBERG.COM","PP"," "," ","AUTO",365,"EPDC","DLL"
"10304","TITANIUM FINISHING CO.;","248 MAIN ST.","P.O. BOX 22","EAST GREENVILLE","18041","PA","USA","215-679-4181","215-679-2399","MELANIE","","HH"," "," ","AUTO",369,"EPDC","DLL"
"10307","HILCO TECHNOLOGIES","4172 DANVERS CT. SE","","GRANDRAPIDS","49512","MI","USA","616-957-1081","616-957-5069","BOB HIXON","BHIXON@HILCOTECH.COM","PP","N","N","AESF",372,"EPDC","DLL"
"10308","INJECTO PLASTICS","3613 WYOMING ST.","","EL PASO","79903","TX","","625-1577","","JESUS A JIMENEZ","","PP"," "," ","AUTO",373,"EPDC","DLL"
"10309","CIRCUIT SALES INTERNATIONAL","29 OLD DOCK RD.","","YAPHANK","11980","NY","USA","631-205-5560","631-924-5596","BRIAN FOX","","  "," "," ","",374,"EPDC","DLL"
"10312","ENGINEERED SINTERING","140 COMMERCIAL ST.","","WATERTOWN","60795","CT","USA","860-274-8877","860-274-4406","CARMELA KERWIN","CKERWIN@ENGSINT.COM","  "," "," ","",377,"EPDC","DLL"
"10314","DIE CUT PRODUCTS","1801 E. 30TH ST.","","CLEVELAND","44114","OH","USA","216-771-6994","216-771-0777","JENNY","","DD"," "," ","AUTO",379,"EPDC","DLL"
"10315","ADI AMERICAN","2 EMERY AVE.","","RANDOLPH","07869","NJ","USA","973-328-1181","973-328-2302","MICHELLE","MICHELLEA@AMERICANDISTR.COM","PP","N","N","AESF",380,"EPDC","DLL"
"10317","KOKOKU RUBBER INC.;","1450 EAST AMERICAN LANE","SUITE 1545","SCHAUMBURG","60173","ILL","USA","847-517-6770","847-517-6775","JIM SPENCER","JSPENCER@KOKOKURUBBER.COM","RR"," "," ","AUTO",382,"EPDC","DLL"
"10322","ZATKOFF AND SEALS","4548 EMERY INDUSTRIAL PARKWAY","WARRENSVILLE","HEIGHTS","44128","OH","USA","330-405-8700 X 3706","330-405-8701","JIM PIVARSKI","JPIVARSKI@ZATKOFF.COM","SS"," "," ","AUTO",387,"EPDC","DLL"
"10337","CROWN PAPER BOX","P.O. BOX 21246","","INDIANAPOLIS","46221","IN","","317-632-7415","","GORDON","","  "," "," ","",402,"EPDC","DLL"
"10338","ARNOLD MAGNETICS LTD","D-6 XINTANG INDUSTRIAL ZONE","BAISHIXIA; GUANGDONG 518103PRC","FUYONGBAOAN","518103","SHENZHEN","CHINA","0","815-568-2376","0","","CC"," "," ","AERO",403,"EPDC","DLL"
"10343","ALLEGHENY","AVENUE A BLDG. 3","","LEETSDALE","15056","PA","","412-741-4416","412-741-5973","PAT BLUMLING / CASH IN ADVANCE","BLUMLING@ALLEGHENY.COM","CC","N","N","AESF",408,"EPDC","DLL"
"10346","MAGNETIC METAL","WESTERN DIVISION","2475 W. LA PALMA AVE.;","ANAHEIM","92801","CA","USA","714-828-4625","714-828-4279","KAREN COFFARO","","CC","N","N","AESF",411,"EPDC","DLL"
"10347","AVANTI ELECTRONICS INC.;","2424 MORRIS AVE.","","UNION","07083","NJ","USA","","","","","  "," "," ","",412,"EPDC","DLL"
"10348","ATLAS HYTEC","P.O. BOX 8452","","BROWNSVILLE","78526-8452","TX","USA","915-727-1004","","OSCAR CHAVEZ","OSCAR.CHAVEZ@UNIVARUSA.COM","CC"," "," ","AUTO",413,"EPDC","DLL"
"10350","LOGICALIS","34505 WEST TWELVE MILE RD","SUITE 210","FARMINGTON HILL","48331","MI","USA","(248)341-2518","","STEPHANIE KLOCK","SKLOCK@NETARX.COM","  "," "," ","",415,"EPDC","DLL"
"10354","ATEK PLASTICS;","200 HOLDSWORTH DR.;","","KERRVILLE","78028","TX","USA","830-896-6464","830-896-6463","SANDY MAIN","SMAIN@ATEKPLASTICS.COM","PP"," "," ","AUTO",419,"EPDC","DLL"
"10356","TODDCO GENERAL","9235 TRADE PLACE; STE.J","","SAN DIEGO","92126","CA","USA","858-271-9229","858-271-9269","","","EE"," "," ","AUTO",421,"EPDC","DLL"
"10359","M & Q PLASTICS","4323 INTERSTATE WAY","","SAN ANTONIO","78219","TX","USA","IND ELECTRIC","267-498-0030","USE DELFINGEN/4-08","","PP"," "," ","AUTO",424,"EPDC","DLL"
"10362","DISENOS Y SERVICIOS INDUSTRIAL","SIERRA DE CORDOVA 5580","","JUAREZ","","CHIH","","656-620-9964","656-620-9964","JAVIER HEREDIA GARCI","","FF"," "," ","AUTO",427,"EPDC","DLL"
"10363","PMIR S DE RLM","CROMO 571","COL DEL CARMEN","JUAREZ","32160","CHIH.","MEXICO","1710975","656-631-1891","ERIK NOEL ROMERO","","MM"," "," ","AUTO",428,"EPDC","DLL"
"10364","VRV  INDUSTRIES / ANCHOR LAB.","2007 NORTH WEST ST.;","","FLAGGSTAFF","86004","AZ","USA","928-913-0770","520-913-0769","AMEETA VORA","","CC"," "," ","AUTO",429,"EPDC","DLL"
"10367","INNOVATIVE PLASTECH INC.;","1260 KINGSLAND DR.;","","BATAVIA","60510","IL","USA","630-232-1808","","","","  "," "," ","",432,"EPDC","DLL"
"10374","WAUCONDA TOOL & ENGINEERING","821 W. ALGONQUIN RD.","","ALGONQUIN","60102","IL","USA","847-658-4588","847-658-5353","VICKI WILSON (2280)/JOHN BONDI","VWILSON@PEPWAUCONDA.COM","MM","N","N","AUTO",439,"EPDC","DLL"
"10375","MAG INC.;","30 ROBB HILL RD.","","MARTINSVILLE","46151-8871","IN","USA","317-831-0112","317-831-0112","","","PP"," "," ","AUTO",440,"EPDC","DLL"
"10376","QUASAR INDUSTRIES","1911 NORTHFIELD DR.;","","ROCHESTERHILLS","48309","MI","USA","248-852-0300","248-852-0442","","","  "," "," ","",441,"EPDC","DLL"
"10381","KOMAX CORPORATION","1100 CORPORATE GROVE","","BUFFALO GROVE","60089","IL","USA","","","","","  "," "," ","",446,"EPDC","DLL"
"10386","TTI; INC","LOCKBOX 99111","14800 FRYE RD TX1-0006","FORT WORTH","76155","TX","","440 349 5862","440-349-5867","PHIL PRAHST X107","PHIL.PRAHST@NTICONNECT.COM","DD"," "," ","AUTO",451,"EPDC","DLL"
"10387","DYNACIRCUITS; MFG. CO","11230 ADDISON ST.","","FRANKLIN PARK","60131-1180","IL","U.S.A.","847-451-1700","847-451-9266","PAT CARPENTER","","  "," "," ","",452,"EPDC","DLL"
"10393","QUALITY SAFETY SYSTEMS","255 PATILLO RD. R.R. # 1","","TECUMSEH","N8NZLP","ONTARIO","","519-973-7400","519-727-6354","DOROTHY LE","","EE"," "," ","AUTO",458,"EPDC","DLL"
"10394","TEXTRON FASTENIN SYSTEMS","1111 SAMUELSON RD.","","ROCKFORD","61109","IL","USA","815-391-5735","815-972-3297","SHERRI KENNINGTON","","HH"," "," ","AUTO",459,"EPDC","DLL"
"10396","SMITH WEST INC.;","404 W. GUADALUPE RD.;","","TEMPE","85283","AZ","USA","480-839-0501","480-838-2054","TONI ANGRES","","  "," "," ","",461,"EPDC","DLL"
"10404","D & F DISTRIBUTING","7600 WEST TIDWELL STE. 200","","HOUSTON","77040","TX","USA","","","","","DD"," "," ","AUTO",469,"EPDC","DLL"
"10405","DELTA PRECISION CIRCUITS INC.","1370 LIVELY BLVD.","","ELKGROVE VILLAG","60007","IL","USA","847-758-8000","847-758-8010","ASHOK PATEL","","CC","Y","N","AUTO",470,"EPDC","DLL"
"10406","MNP CORPORATION","44225 UTICA RD.","","UTICA","48317","MI","USA","586-254-1320","586-726-5663","MICHAEL J. DAILEY","","HH"," "," ","AUTO",471,"EPDC","DLL"
