ItemNumber,ItemDescription,ItemRevision,ItemStatus,ItemClass,SQE,RunLeadTimeDays,LotSizeMinimum,LotSizeMultiplier,Planner,Buyer,InventoryQty,ItemUM,ItemUnitCost,VendorItemNumber,VendorItemDescription,VendorID,VendorName,ShipToLocation,Currency,ItemKey,VendorKey,MBS,ItemAppvStatus,QtyofBlankets,FS_PONumber,VendorPriority,FS_POLnNumber,BKPOExpireDate,LineItemOrderedQuantity,ReceiptQuantity,POLineKey,BKPOStartDate
"87-0329-1","HOUSING",R ,A,48,   ,30,2500,0,DG1,DG1,3156,EA,,"87-0329-1","HOUSING",050050,"OZARK DIE CASTING CO.",EPDC,DLL,9888,32309,B,A,,,1,,,,,,
"90-0317-2","HOUSING",M ,A,48,   ,30,5000,0,DG1,DG1,367,EA,,"90-0317-2","HOUSING",050050,"OZARK DIE CASTING CO.",EPDC,DLL,10133,32309,B,,,,0,,,,,,
"960001","HOUSING",D ,A,48,?  ,35,100,100,DG1,DG1,268,EA,,"960001","HOUSING",050050,"OZARK DIE CASTING CO.",EPDC,DLL,50637,32309,B,,,,0,,,,,,
"67410105-1W","MAGNET-SHAFT ASSY WELDED",B ,A,94,   ,20,1,1,MZ ,MZ ,10,EA,,"67410105-1W","MAGNET-SHAFT ASSY WELDED",050052,"JADE INNOVATIONS",EPDC,DLL,47549,32315,S,,,,0,,,,,,
"D20B-14A468-AB","SPACER",U ,A,46,   ,45,2500,2500,AS ,AS ,350,EA,,"D20B-14A468-AB","SPACER",050054,"WESTERN DIVERSIFIED PLASTICS",EPDC,DLL,11924,32328,B,,,,0,,,,,,
"203011","WIRE HP3/16 AWG BLACK",AC,A,28,JOA,70,10000,10000,DG1,DG1,95671.7760000006,FT,,"203011","WIRE HP3/16 AWG BLACK",050055,"CARLISLEIT - THERMAX",EPDC,DLL,2599,32333,B,A,,,1,,,,,,
"203012","WIRE HP3/16 AWG YELLOW",AC,A,28,JOA,70,10000,10000,DG1,DG1,16756.3760000003,FT,,"203012","WIRE HP3/16 AWG YELLOW",050055,"CARLISLEIT - THERMAX",EPDC,DLL,2600,32333,B,A,,,1,,,,,,
"203013","WIRE HP3/22 AWG BLUE",AC,A,28,JOA,70,20000,10000,DG1,DG1,92892.79600036,FT,,"203013","WIRE HP3/22 AWG BLUE",050055,"CARLISLEIT - THERMAX",EPDC,DLL,2601,32333,B,A,,,1,,,,,,
"203240","20 AWG 19 STRANDS SILVER COATED COPPER; VIOLET",AC,A,70,JOA,50,9000,9000,DG1,DG1,82.9999999999618,FT,,"203240","20 AWG 19 STRANDS SILVER COATED COPPER; VIOLET",050055,"CARLISLEIT - THERMAX",EPDC,DLL,29034,32333,B,A,,,1,,,,,,
"28-531600","WIRE LEAD15-000038 #16 BL 28-531600",C ,A,84,LFG,45,500,500,EC ,EC ,89.5762,FT,,"28-531600","WIRE LEAD15-000038 #16 BL 28-531600",050055,"CARLISLEIT - THERMAX",EPDC,DLL,4292,32333,B,,,,0,,,,,,
"32-140098","WIRE, ELECTRICAL, LEAD READ AS22759/7-8-2, AWG #8",F ,A,87,?  ,0,0,0,PUR,PUR,475,FT,,"32-140098","WIRE, ELECTRICAL, LEAD READ AS22759/7-8-2, AWG #8",050055,"CARLISLEIT - THERMAX",EPDC,DLL,50694,32333,B,,,,0,,,,,,
"32-140099","WIRE, ELECTRICAL, LEAD BLUE AS22759/7-8-6, AWG #8",F ,A,87,?  ,0,0,0,PUR,PUR,475,FT,,"32-140099","WIRE, ELECTRICAL, LEAD BLUE AS22759/7-8-6, AWG #8",050055,"CARLISLEIT - THERMAX",EPDC,DLL,50695,32333,B,,,,0,,,,,,
"32-140100","WIRE, ELECTRICAL, LEAD WHITE AS22759/7-8-9 AWG #8",F ,A,87,?  ,0,0,0,PUR,PUR,475,FT,,"32-140100","WIRE, ELECTRICAL, LEAD WHITE AS22759/7-8-9 AWG #8",050055,"CARLISLEIT - THERMAX",EPDC,DLL,50697,32333,B,,,,0,,,,,,
"950507","BLACK WIRE 20 AWG",AD,A,25,?  ,80,1000,1000,DG1,DG1,7666,FT,,"950507","BLACK WIRE 20 AWG",050055,"CARLISLEIT - THERMAX",EPDC,DLL,48164,32333,B,A,,,0,,,,,,
"950511","RED WIRE 20 AWG",AD,A,25,?  ,80,1000,1000,DG1,DG1,7406,FT,,"950511","RED WIRE 20 AWG",050055,"CARLISLEIT - THERMAX",EPDC,DLL,48168,32333,B,A,,,0,,,,,,
"950609","WIRE;TEFLON 18GA; BROWN",AD,A,73,?  ,45,1000,1000,DG1,DG1,4922.726,FT,,"950609","WIRE;TEFLON 18GA; BROWN",050055,"CARLISLEIT - THERMAX",EPDC,DLL,48182,32333,B,A,,,0,,,,,,
"950612","WIRE;TEFLON 18GA; BLACK",AD,A,73,?  ,60,5000,5000,DG1,DG1,4908.53,FT,,"950612","WIRE;TEFLON 18GA; BLACK",050055,"CARLISLEIT - THERMAX",EPDC,DLL,48184,32333,B,A,,,0,,,,,,
"AS22759/7-20-1","WIRE SILVER COATED COPPER CONDUCTOR AWG #20 BROWN",- ,A,82,?  ,5,0,0,MZ ,MZ ,5394,FT,,"AS22759/7-20-1","WIRE SILVER COATED COPPER CONDUCTOR AWG #20 BROWN",050055,"CARLISLEIT - THERMAX",EPDC,DLL,52037,32333,B,,,,0,,,,,,
"M3190/5-04-N","INSULATION SLEEVING",F ,A,96,   ,35,100,100,MZ ,MZ ,296.45,FT,,"M3190/5-04-N","INSULATION SLEEVING",050056,"VARFLEX CORPORATION",EPDC,DLL,47457,32339,B,,,,0,,,,,,
"M3190/5-06-N","INSULATION SLEEVING",F ,A,95,   ,35,100,100,DG1,DG1,96.432,FT,,"M3190/5-06-N","INSULATION SLEEVING",050056,"VARFLEX CORPORATION",EPDC,DLL,47485,32339,B,,,,0,,,,,,
"M3190/5-08-N","INSULATION SLEEVING",F ,A,96,   ,35,100,100,MZ ,MZ ,436.5,FT,,"M3190/5-08-N","INSULATION SLEEVING",050056,"VARFLEX CORPORATION",EPDC,DLL,47471,32339,B,,,,0,,,,,,
"M3190/5-13-N","INSULATION SLEEVING",F ,A,96,   ,35,100,100,MZ ,MZ ,205.42,FT,,"M3190/5-13-N","INSULATION SLEEVING",050056,"VARFLEX CORPORATION",EPDC,DLL,47450,32339,B,,,,0,,,,,,
"M3190/5-15-N","INSULATION SLEEVING",F ,A,96,   ,35,250,250,MZ ,MZ ,330.174,FT,,"M3190/5-15-N","INSULATION SLEEVING",050056,"VARFLEX CORPORATION",EPDC,DLL,47465,32339,B,,,,0,,,,,,
"27603-2","LAMINATION",V ,O,OB,*  ,55,500,500,OBS,OBS,0,EA,,"27603-2","LAMINATION",050057,"FRED R. RIPPY; INC.",EPDC,DLL,47325,32347,B,,,,0,,,,,,
"33248","LAMINATION; MOTOR; ROTOR",H ,A,94,   ,5,1,1,MZ ,MZ ,4500,EA,,"33248","LAMINATION; MOTOR; ROTOR",050057,"FRED R. RIPPY; INC.",EPDC,DLL,44718,32347,B,,,,1,,,,,,
"05-651002","PRIMER;ZINC;CHROMATE 05-651002/M",M ,A,82,   ,25,16,16,TCC,TCC,561.093000000004,OZ,,"05-651002","PRIMER;ZINC;CHROMATE 05-651002/K",050060,"INTREPID COATINGS",EPDC,DLL,962,32361,B,,,,0,,,,,,
"950401","OVERMOLD BULKHEAD CONNECTOR",F ,A,26,   ,15,3000,3000,AS ,AS ,655,EA,,"950401","OVERMOLD BULKHEAD CONNECTOR",050061,"MAGNA-TECH MFG.",EPDC,DLL,47856,32365,S,,,,0,,,,,,
"950403","LEADFRAME CONNECTOR",B ,A,26,   ,45,15000,1500,DG1,DG1,6,EA,,"950403","LEADFRAME, CONNECTOR",050061,"MAGNA-TECH MFG.",EPDC,DLL,47858,32365,S,,,,0,,,,,,
"950404","SEALANT VACUUM IMPREGNATION",A ,P,26,   ,15,0,0,DG1,DG1,0,GL,,"950404","SEALANT VACUUM IMPREGNATION",050061,"MAGNA-TECH MFG.",EPDC,DLL,47859,32365,B,A,,,0,,,,,,
"950405","OVERMOLD W/ IMPREGNATION",E ,A,26,?  ,15,1150,1150,AS ,AS ,238,EA,0.2200000,"950405","OVERMOLD W/ IMPREGNATION",050061,"MAGNA-TECH MFG.",EPDC,DLL,49925,32365,S,,1,PS-041916-30,0,1,2018-04-19 00:00:00,9999999,6705,265815731,2016-04-19 00:00:00
"950614","ASSEMBLY; OVER MOLD W/ IMPREGNATION",E ,A,73,?  ,15,0,0,AS ,AS ,1435,EA,0.2450000,"950614","ASSEMBLY; OVER MOLD W/ IMPREGNATION",050061,"MAGNA-TECH MFG.",EPDC,DLL,48178,32365,S,,1,PO-081414-30,0,2,2018-07-09 00:00:00,9999999,14275,237746145,2015-07-09 00:00:00
"950615","OVERMOLD ASSEMBLY ONLY",A ,A,73,?  ,15,284,284,AS ,AS ,0,EA,,"950615","OVERMOLD ASSEMBLY ONLY",050061,"MAGNA-TECH MFG.",EPDC,DLL,48199,32365,S,,,,0,,,,,,
"P117-01","TERMINAL",* ,A,70,   ,0,50,50,AS ,AS ,1207,EA,,"P117-01","TERMINAL",050061,"MAGNA-TECH MFG.",EPDC,DLL,44918,32365,B,N,,,1,,,,,,
"67410105-1W","MAGNET-SHAFT ASSY WELDED",B ,A,94,   ,20,1,1,MZ ,MZ ,10,EA,,"67410105-1W","MAGNET-SHAFT ASSY WELDED",050062,"EBTEC",EPDC,DLL,47549,32370,S,,,,1,,,,,,
"02-2050-22","WEDGE OUTER 02-2050-22",BP,A,86,LFG,45,6000,6000,EC ,EC ,8393,EA,,"02-2050-22","WEDGE OUTER 02-2050-22",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,466,32401,B,,,,0,,,,,,
"A14350XG1","PLATE TOP 10038242",J ,A,5 ,?  ,25,5000,1000,AS ,AS ,6280,EA,,"A14350XG1","PLATE TOP",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,48265,32401,B,A,,,1,,,,,,
"A14350XH","PLATE-TOP M/F DR TRUCK",J ,A,5 ,   ,100,3500,3500,AS ,AS ,2943,EA,,"A14350XH","PLATE-TOP M/F DR TRUCK",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,37344,32401,B,,,,0,,,,,,
"B11352XN","KNOB CASE",P ,A,5 ,?  ,25,1000,1000,AS ,AS ,2679,EA,,"B11352XN","KNOB CASE",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,48204,32401,B,,,,0,,,,,,
"B13502XD","CANCEL PAWL",D ,A,5 ,   ,45,1000,1000,AS ,AS ,4156,EA,,"B13502XD","CANCEL PAWL",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,27459,32401,B,A,,,1,,,,,,
"B13510XM","ROTOR-WIPER WJ",N ,A,5 ,   ,30,1000,1000,AS ,AS ,3039,EA,,"B13510XM","ROTOR-WIPER WJ",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,33031,32401,B,A,,,1,,,,,,
"B13512XK","ROTOR M/F WJ",K ,A,5 ,   ,45,1000,1000,AS ,AS ,1654,EA,,"B13512XK","ROTOR M/F WJ",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,27462,32401,B,A,,,1,,,,,,
"B13576XH","DRIVE MOULDING",H ,A,5 ,   ,45,1000,1000,AS ,AS ,1951,EA,,"B13576XH","DRIVE MOULDING",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,27463,32401,B,A,,,1,,,,,,
"B13578XG","LIGHTING SLIDE C/O",G ,A,5 ,   ,45,1000,1000,AS ,AS ,875,EA,,"B13578XG","LIGHTING SLIDE C/O",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,27465,32401,B,,,,1,,,,,,
"B13580XN","KNOB CASE INNER",R ,A,5 ,?  ,30,1000,1000,AS ,AS ,1272,EA,,"B13580XN","KNOB CASE INNER",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,48224,32401,B,A,,,0,,,,,,
"B13592XP","KNOB CASE INNER PT",R ,A,5 ,?  ,30,5000,1000,AS ,AS ,1881,EA,,"B13592XP","KNOB CASE INNER PT",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,48218,32401,B,A,,,1,,,,,,
"B13599XJ","DRIVE MOLD FR FOG",K ,A,5 ,   ,45,1000,1000,AS ,AS ,588,EA,,"B13599XJ","DRIVE MOLD FR FOG",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,27491,32401,B,A,,,1,,,,,,
"B14077XN","LEVER STALK",R ,A,5 ,?  ,30,1500,1000,AS ,AS ,9,EA,,"B14077XN","LEVER STALK",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,48227,32401,B,,,,0,,,,,,
"B14153XR","LEVER WIPER",T ,A,5 ,?  ,35,1000,1000,AS ,AS ,360,EA,,"B14153XR","LEVER WIPER",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,48215,32401,B,,,,1,,,,,,
"B14514XG","LEVER",J ,A,5 ,?  ,35,1000,1000,AS ,AS ,920,EA,,"B14514XG","LEVER",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,48219,32401,B,,,,0,,,,,,
"B14517XF","LEVER TAMPO",H ,A,5 ,?  ,25,1000,1000,AS ,AS ,144,EA,,"B14517XF","LEVER TAMPO",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,48221,32401,B,,,,1,,,,,,
"B14518XE","DRIVE MOLD",G ,A,5 ,   ,45,1000,1000,AS ,AS ,3680,EA,,"B14518XE","DRIVE MOLD",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,27434,32401,B,A,,,1,,,,,,
"B15030XD","KNOB CASE INNER",F ,A,5 ,?  ,45,1000,1000,AS ,AS ,0,EA,,"B15030XD","KNOB CASE INNER",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,48210,32401,B,A,,,0,,,,,,
"B15280XC","FIXED RING MFCTN",F ,A,5 ,?  ,35,1000,1000,AS ,AS ,0,EA,,"B15280XC","FIXED RING MFCTN",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,48211,32401,B,,,,0,,,,,,
"B15768XD","BASE SHAFT",F ,A,5 ,   ,45,1000,1000,AS ,AS ,1470,EA,,"B15768XD","BASE SHAFT",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,35109,32401,B,A,,,1,,,,,,
"B15770XB","ACTION PIECE",C ,A,5 ,   ,45,1000,1000,AS ,AS ,1696,EA,,"B15770XB","ACTION PIECE",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,35110,32401,B,,,,0,,,,,,
"B18467XV","PLATE-TOP BK",V ,A,5 ,   ,50,1000,1000,AS ,AS ,1985,EA,,"B18467XV","PLATE-TOP BK",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,33743,32401,B,A,,,1,,,,,,
"P18494XX","ACTUATOR",C ,A,5 ,   ,45,1000,1000,AS ,AS ,781,EA,,"P18494XX","ACTUATOR",050064,"PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS",EPDC,DLL,33751,32401,S,,,,0,,,,,,
"02-3002-04","CORE MAGNETIC 3-PHAS",N ,A,80,?  ,35,100,100,EC ,EC ,126,EA,,"02-3002-04","CORE MAGNETIC 3-PHAS",050065,"MAGNET APPLICATIONS",EPDC,DLL,48616,32408,B,,,,0,,,,,,
"P260-00M","ROTOR ASSY MAGNETIZED",- ,A,97,   ,10,0,0,MZ ,MZ ,0,EA,,"P260-00M","ROTOR ASSY MAGNETIZED",050065,"MAGNET APPLICATIONS",EPDC,DLL,48030,32408,S,,,,0,,,,,,
"P260-04","MAGNET, ROTOR 833967",A ,A,97,   ,50,0,0,MZ ,MZ ,0,EA,,"P260-04","MAGNET, ROTOR 833967",050065,"MAGNET APPLICATIONS",EPDC,DLL,48016,32408,B,,,,0,,,,,,
"950421","MARKEL WIRE-3-LEAD WITH TUBE #SA 11095",A ,A,27,   ,55,1000,1000,DG1,DG1,6700.81000000002,MT,4.0100000,"950421","MARKED WIRE-3-LEAD WITH TUBE #SA 11095",050066,"MARKEL CORPORATION",EPDC,DLL,48034,32416,B,A,1,PO-040314-950421,1,1,2018-12-31 00:00:00,900000,75623,177946323,2014-04-03 00:00:00
"02-7007-04","ADHESIVE; CYANOACRYLATE (M46050-B-1) LOCTITE 406",Y ,A,84,LFG,45,1,1,TCC,TCC,6.947,OZ,,"02-7007-04","ADHESIVE; CYANOACRYLATE (M46050-B-1) LOCTITE 406",050067,"BRIDGE CHEMICAL COMPANY S.A. DE C.V.",EPDC,DLL,686,32445,B,,,,0,,,,,,
"105-133-9001","495 LOCTITE (1 OZ BOTTLE) (# 49550)",BK,A,94,LFG,20,1,1,TCC,TCC,13.2668,OZ,,"105-133-9001","495 LOCTITE (1 OZ BOTTLE) (# 49550)",050067,"BRIDGE CHEMICAL COMPANY S.A. DE C.V.",EPDC,DLL,1177,32445,B,,,,0,,,,,,
"243-028-9001","LOCTITE 7075 (ACTIVATOR)",B ,A,96,   ,20,32,32,TCC,TCC,59.1759999999998,OZ,,"243-028-9001","LOCTITE 7075 (ACTIVATOR)",050067,"BRIDGE CHEMICAL COMPANY S.A. DE C.V.",EPDC,DLL,47353,32445,B,,,,0,,,,,,
"MS3112E10-6S","CONN MS3112E10-6S",G ,A,85,   ,45,0,0,EC ,EC ,28,EA,,"MS3112E10-6S","CONN MS3112E10-6S",050068,"PEI-GENESIS",EPDC,DLL,12553,32452,B,,,,0,,,,,,
"950501","O-RING 26139371",A ,A,25,?  ,40,5000,5000,DG1,DG1,14082,EA,,"950501","O-RING 26139371",050069,"TML-MFG, LLC",EPDC,DLL,48154,32454,B,A,,,1,,,,,,
"950605","SEAL O-RING 2-015",B ,A,73,?  ,15,5000,5000,DG1,DG1,6651,EA,0.2500000,"950605","SEAL O-RING 2-015",050069,"TML-MFG, LLC",EPDC,DLL,48176,32454,B,A,1,PO-032415-05,1,1,2018-12-31 00:00:00,45000,15000,222806899,2015-03-24 00:00:00
"950607","INSERT; BRASS CA360 HALF HARD BRASS",B ,A,73,?  ,45,45000,5000,DG1,DG1,17451.07,EA,,"950607","INSERT; BRASS CA360 HALF HARD BRASS",050070,"GENT MACHINE COMPANY",EPDC,DLL,48179,32465,B,A,,,0,,,,,,
"P260-01","SLEEVE, ROTOR RETENTION 833973",B ,A,97,   ,55,0,0,MZ ,MZ ,0,EA,,"P260-01","SLEEVE, ROTOR RETENTION 833973",050071,"BOWDEN MANUFACTURING CORP",EPDC,DLL,48015,32469,B,,,,0,,,,,,
"950514","RESIN, VACUUM IMPREGNATION 38374R (SUPPLIER CODE 38374R54 )",B ,A,25,?  ,40,10,10,TCC,TCC,0,GL,,"950514","RESIN, VACUUM IMPREGNATION",050072,"HERNON MANUFACTURING INC.",EPDC,DLL,48155,32482,B,A,,,0,,,,,,
"950519","INITIATOR (SUPPLIER CODE 309140H)",* ,A,25,?  ,45,500,500,DG1,DG1,0,GR,,"950519","INITIATOR",050072,"HERNON MANUFACTURING INC.",EPDC,DLL,48301,32482,B,,,,0,,,,,,
"310526","HOUSING PONTIAC CC 0009-6771",A ,A,29,   ,45,1500,1500,AS ,AS ,807,EA,,"310526","HOUSING PONTIAC CC 0009-6771",050074,"TEC MOLD INDUSTRIAL GROUP LIMITED",EPDC,DLL,6613,32489,B,A,,,0,,,,,,
"310535","PONTIAC LIGHT PIPE 0009-6670",B ,A,29,   ,45,10000,10000,AS ,AS ,2180,EA,,"310535","PONTIAC LIGHT PIPE 0009-6670",050074,"TEC MOLD INDUSTRIAL GROUP LIMITED",EPDC,DLL,6622,32489,B,A,,,0,,,,,,
"310537","SET COAST ACTUATOR 0009-6345",E ,A,29,   ,45,3500,3500,AS ,AS ,3035,EA,,"310537","SET COAST ACTUATOR 0009-6345",050074,"TEC MOLD INDUSTRIAL GROUP LIMITED",EPDC,DLL,6624,32489,B,,,,0,,,,,,
"933464","*BASE COVER(T-884)",BM,A,35,RF ,45,1000,1000,AS ,AS ,4181,EA,,"933464","*BASE COVER(T-884)",050074,"TEC MOLD INDUSTRIAL GROUP LIMITED",EPDC,DLL,10591,32489,B,,,,0,,,,,,
"933595","*BASE(93-7421-2 U.T.)",01,A,35,   ,45,8000,8000,AS ,AS ,1134,EA,,"933595","*BASE(93-7421-2 U.T.)",050074,"TEC MOLD INDUSTRIAL GROUP LIMITED",EPDC,DLL,10691,32489,B,,,,0,,,,,,
"933618","* BASE COVER (T-883)",AU,A,35,JOA,40,2000,2000,AS ,AS ,7213,EA,,"933618","* BASE COVER (T-883)",050074,"TEC MOLD INDUSTRIAL GROUP LIMITED",EPDC,DLL,10696,32489,B,,,,0,,,,,,
"933641","*BASE UT84-7421-2",AA,A,35,   ,45,6000,6000,AS ,AS ,124,EA,,"933641","*BASE UT84-7421-2",050074,"TEC MOLD INDUSTRIAL GROUP LIMITED",EPDC,DLL,10714,32489,B,,,,0,,,,,,
"960004","TERMINAL BLOCK",B ,A,48,?  ,0,0,0,PUR,PUR,138,EA,,"960004","TERMINAL BLOCK",050074,"TEC MOLD INDUSTRIAL GROUP LIMITED",EPDC,DLL,50742,32489,B,,,,0,,,,,,
"960006","CARRIER",B ,A,48,?  ,0,0,0,PUR,PUR,138,EA,,"960006","CARRIER",050074,"TEC MOLD INDUSTRIAL GROUP LIMITED",EPDC,DLL,50745,32489,B,,,,0,,,,,,
"99-8333-1","BUTTON; TILT",F ,A,41,   ,45,1000,1000,AS ,AS ,56.8,EA,,"99-8333-1","BUTTON; TILT",050074,"TEC MOLD INDUSTRIAL GROUP LIMITED",EPDC,DLL,11803,32489,B,,,,0,,,,,,
"B11380XX","SPRING-LEAF",E ,A,5 ,   ,35,0,0,DG1,DG1,2194,EA,,"B11380XX","SPRING-LEAF",050075,"PRECIOUS PLATE",EPDC,DLL,37320,32500,B,,,,0,,,,,,
"207094","TERMINAL; IDC 4594",A ,A,52,?  ,20,48000,12000,DG1,DG1,14878,EA,,"207094","TERMINAL; IDC 4594",050076,"QCOMPONENTS",EPDC,DLL,48639,32501,B,,,,0,,,,,,
"3-9059-6","PUSH ON FASTENER",D ,A,46,   ,35,0,0,DG1,DG1,543,EA,,"3-9059-6","PUSH ON FASTENER",050078,"G.L. HUYETT",EPDC,DLL,4394,32524,B,,,,0,,,,,,
"207087","COLLAR GUIDE 4687",A ,A,52,?  ,50,32000,32000,DG1,DG1,7537,EA,,"207087","COLLAR GUIDE 4687",050079,"KEMPER AIP METALS LLC",EPDC,DLL,48631,32525,B,,,,0,,,,,,
"207097","CORE 4597",A ,A,52,?  ,50,30000,30000,DG1,DG1,21327,EA,,"207097","CORE 4597",050080,"TAYLOR SCREW PRODUCTOS",EPDC,DLL,48641,32527,B,,,,0,,,,,,
"315007","COIL I2560K3",A ,A,71,JA ,40,30000,30000,DG1,DG1,3629,EA,,"315007","COIL I2560K3",050080,"TAYLOR SCREW PRODUCTOS",EPDC,DLL,7634,32527,B,,,,0,,,,,,
"207005","SPRING T302 STAINLESS STEEL",A ,A,52,?  ,30,20000,20000,DG1,DG1,23369,EA,,"207005","SPRING 4605",050081,"WOLVERINE COIL SPRING CO",EPDC,DLL,48630,32528,B,A,,,1,,,,,,
"207030","LEAD WIRE ASSY 4702",A ,A,52,?  ,55,5000,5000,DG1,DG1,6335,EA,,"207030","LEAD WIRE ASSY 4702",050082,"TELLNAR, INC.",EPDC,DLL,48649,32529,B,,,,0,,,,,,
"207047","LEAD WIRE ASSEMBLY",A ,A,52,?  ,50,0,0,DG1,DG1,10049,EA,,"207047","LEAD WIRE ASSEMBLY",050082,"TELLNAR, INC.",EPDC,DLL,49780,32529,B,,,,0,,,,,,
"207048","LEAD WIRE  ASSEMBLY",A ,A,52,?  ,50,0,0,DG1,DG1,3910,EA,,"207048","LEAD WIRE  ASSEMBLY",050082,"TELLNAR, INC.",EPDC,DLL,49781,32529,B,,,,0,,,,,,
"207049","LEAD WIRE ASSEMBLY",A ,A,52,?  ,50,0,0,DG1,DG1,5274,EA,,"207049","LEAD WIRE ASSEMBLY",050082,"TELLNAR, INC.",EPDC,DLL,49782,32529,B,,,,0,,,,,,
"207090","TERMINAL; RIGHT 4690",A ,A,52,?  ,50,5000,5000,DG1,DG1,2284,EA,,"207090","TERMINAL; RIGHT 4690",050082,"TELLNAR, INC.",EPDC,DLL,48637,32529,B,,,,0,,,,,,
"207091","TERMINAL; LEFT 4691",A ,A,52,?  ,50,5000,5000,DG1,DG1,10039,EA,,"207091","TERMINAL; LEFT 4691",050082,"TELLNAR, INC.",EPDC,DLL,48638,32529,B,,,,0,,,,,,
"02-2011-04","INSULATOR SLOT B SHAPED 02-2011-04",W ,A,86,LFG,45,20000,20000,EC ,EC ,4339,EA,,"02-2011-04","INSULATOR SLOT B SHAPED 02-2011-04",050083,"LENNI PRODUCTS, INC",EPDC,DLL,283,32534,B,A,,,1,,,,,,
"02-2011-05","INSULATOR SLOT B SHAPED 02-2011-05",W ,A,86,LFG,15,1000,1000,EC ,EC ,1142,EA,0.5500000,"02-2011-05","INSULATOR SLOT B SHAPED 02-2011-05",050083,"LENNI PRODUCTS, INC",EPDC,DLL,284,32534,B,A,1,POBK-021517-03,1,1,2018-02-15 00:00:00,9000,3000,281701936,2017-02-15 00:00:00
"02-2011-07","INSULATOR SLOT B SHAPED 02-2011-07",W ,A,86,JA ,45,6000,6000,EC ,EC ,4712.21033133333,EA,0.3400000,"02-2011-07","INSULATOR SLOT B SHAPED 02-2011-07",050083,"LENNI PRODUCTS, INC",EPDC,DLL,286,32534,B,,1,POBK-112316-01,0,1,2017-11-23 00:00:00,18000,12000,276610041,2016-11-23 00:00:00
"02-2011-11","INSULATOR SLOT B SHAPED 02-2011-11",W ,A,86,LFG,45,1000,0,EC ,EC ,1045,EA,,"02-2011-11","INSULATOR SLOT B SHAPED 02-2011-11",050083,"LENNI PRODUCTS, INC",EPDC,DLL,290,32534,B,,,,0,,,,,,
"02-2011-12","INSULATOR;SLOT;B SHAPED 02-2011-12",W ,A,86,LFG,45,1000,1000,EC ,EC ,854,EA,,"02-2011-12","INSULATOR;SLOT;B SHAPED 02-2011-12",050083,"LENNI PRODUCTS, INC",EPDC,DLL,291,32534,B,,,,0,,,,,,
"02-2011-15","INSULATOR SLOT B SHAPED 02-2011-15",W ,A,86,LFG,15,1000,1000,EC ,EC ,1833,EA,0.4700000,"02-2011-15","INSULATOR SLOT B SHAPED 02-2011-15",050083,"LENNI PRODUCTS, INC",EPDC,DLL,293,32534,B,A,1,POBK-011717-01,1,1,2018-01-17 00:00:00,7000,4000,279754388,2017-01-17 00:00:00
